account,code,name,open_date,close_date,hold_days,buy_price,sell_price,pnl_net,pnl_pct,t0_close_pct,max_float_gain,max_float_loss,n_buys_in_rt,gave_back_pct,scenario
账户1,300395,菲利华,2026-05-15,2026-05-19,4.0,134.24,129.952,-1334.75,-3.19,-0.30542312276519157,6.935339690107267,-4.834624553039335,4,10.125339690107268,G. 其他亏损
账户1,300395,菲利华,2026-05-15,2026-05-19,4.0,134.44,129.952,-1394.78,-3.34,-0.4537340077357843,6.7762570663493005,-4.976197560249929,4,10.1162570663493,G. 其他亏损
账户1,300397,天和防务,2026-05-20,2026-05-21,1.0,14.813,14.383,-1612.16,-2.9,-2.585566731924671,1.1273881050428702,-6.09599675960305,2,4.027388105042871,E. 买了就跌 → 割肉
账户1,300397,天和防务,2026-05-20,2026-05-21,1.0,14.66,14.383,-1090.65,-1.89,-1.568894952251021,2.1828103683492417,-5.115961800818559,2,4.072810368349241,E. 买了就跌 → 割肉
账户1,300409,道氏技术,2026-01-07,2026-01-08,1.0,32.0,30.84,-1557.81,-3.63,-2.6562500000000044,4.968750000000011,-5.687500000000001,1,8.59875000000001,E. 买了就跌 → 割肉
账户1,300433,蓝思科技,2026-05-15,2026-05-19,4.0,34.6,38.0,5367.3,9.83,-1.1271676300578015,17.052023121387272,-4.161849710982668,1,7.222023121387272,F. 其他盈利
账户1,300433,蓝思科技,2026-05-21,2026-05-22,1.0,37.62,38.19,45.01,1.52,-2.9505582137161035,2.472089314194581,-6.273258904837853,1,0.952089314194581,F. 其他盈利
账户1,300474,景嘉微,2026-03-04,2026-03-06,2.0,69.09,67.55,-811.78,-2.23,-1.5342307135620237,2.460558691561743,-7.150094080185266,2,4.690558691561742,E. 买了就跌 → 割肉
账户1,300474,景嘉微,2026-03-04,2026-03-06,2.0,68.84,67.55,-412.03,-1.87,-1.1766414875072684,2.832655432887865,-6.812899477048228,2,4.702655432887865,E. 买了就跌 → 割肉
账户1,300502,新易盛,2026-02-26,2026-03-02,4.0,385.23,377.3,-839.63,-2.06,0.17392207252808767,0.8696103626404827,-9.991433688965035,2,2.929610362640483,G. 其他亏损
账户1,300502,新易盛,2026-02-27,2026-03-02,3.0,359.01,377.3,1783.33,5.09,0.23676220718087393,7.239352664271204,-3.41773209659898,1,2.1493526642712037,F. 其他盈利
账户1,300502,新易盛,2026-02-27,2026-03-02,3.0,359.01,383.8,2432.77,6.91,0.23676220718087393,7.239352664271204,-3.41773209659898,1,0.32935266427120347,F. 其他盈利
