account,code,name,open_date,close_date,hold_days,buy_price,sell_price,d0_pct,d1_open_pct,d1_high_pct,d1_low_pct,d1_close_pct,t1_limit_up,d2_pct,ideal_gain_pct,actual_gain_pct,missed_pct,pnl_net,limit_up_pct,scenario,exit_t1,exit_late
账户2,002971,和远气体,2026-01-08,2026-01-09,1,33.63,31.76,10.009813542688928,-4.846862920011896,-3.5385072851620736,-7.552780255724068,-4.162949747249501,False,-0.6825938566552892,-3.5385072851620736,-5.56,2.021492714837926,-1141.53,10.0,T+1 低开 3%+ (模板:承认失败 · 早盘冲高就走),True,False
账户2,600108,亚盛集团,2026-03-04,2026-03-05,1,4.75,4.95,9.97920997920998,6.994328922495274,6.994328922495274,-7.37240075614366,-5.1039697542533125,False,9.960159362549792,19.157894736842106,4.21,14.947894736842105,4847.73,10.0,T+1 高开 5%+ (模板:分时高点挂单出),True,False
账户2,600256,广汇能源,2026-03-02,2026-03-03,1,6.4,7.05,10.034013605442183,6.18238021638331,10.046367851622872,3.554868624420404,10.046367851622872,True,-3.370786516853941,11.250000000000004,10.16,1.0900000000000034,5544.64,10.0,T+1 封板(继续持有 · 你若走了是踏空),True,False
账户2,600313,农发种业,2026-03-16,2026-03-17,1,9.04,9.32,10.060606060606059,0.11013215859030367,7.92951541850222,-2.422907488986792,-1.6519823788546328,False,-2.5755879059350506,8.407079646017724,3.1,5.3070796460177245,677.89,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户2,600339,中油工程,2026-04-02,2026-04-03,1,4.46,4.6,10.123456790123452,3.139013452914785,9.641255605381161,0.22421524663676085,5.381165919282527,False,0.6382978723404209,9.641255605381161,3.14,6.501255605381161,1406.18,10.0,T+1 高开 2-5% (模板:开盘先撤 · 分时判断),True,False
账户2,600339,中油工程,2026-04-02,2026-04-03,1,4.46,4.64,10.123456790123452,3.139013452914785,9.641255605381161,0.22421524663676085,5.381165919282527,False,0.6382978723404209,9.641255605381161,4.04,5.601255605381161,1835.57,10.0,T+1 高开 2-5% (模板:开盘先撤 · 分时判断),True,False
账户2,600376,首开股份,2026-03-23,2026-03-24,1,5.86,5.62,9.925093632958815,0.5110732538330609,5.4514480408858645,-5.7921635434412195,-1.873935264054516,False,-1.736111111111105,5.631399317406149,-4.1,9.731399317406149,-1176.04,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户2,600666,奥瑞德,2026-03-27,2026-03-30,3,6.07,6.08,9.945750452079572,-4.605263157894745,6.414473684210531,-10.032894736842113,2.6315789473684292,False,-8.653846153846157,6.58978583196046,0.16,6.4297858319604595,-6.58,10.0,T+1 低开 3%+ (模板:承认失败 · 早盘冲高就走),False,True
账户2,600935,华塑股份,2026-01-08,2026-01-09,1,2.75,2.72,10.000000000000009,0.0,0.727272727272732,-3.6363636363636376,-2.9090909090909167,False,1.8726591760299671,0.727272727272732,-1.09,1.817272727272732,-305.3,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户2,600936,北投科技,2026-06-02,2026-06-04,2,5.9,6.29,10.03717472118959,3.040540540540526,9.966216216216207,1.3513513513513598,9.966216216216207,True,-5.222734254992323,10.338983050847439,6.61,3.7289830508474386,1691.62,10.0,T+1 封板(继续持有 · 你若走了是踏空),False,False
