ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share
002615.SZ,20260721,邵巧蓉,G,IN,30000.0,0.0099,,,6.75,630000.0
603306.SH,20260721,臧琨,G,IN,22600.0,0.0069,22600.0,0.0069,64.23,22600.0
603098.SH,20260721,刘爱森,G,IN,3831349.0,0.7111,140469505.0,26.0708,14.437,140469505.0
603927.SH,20260721,左春,G,IN,37200.0,0.0045,8109264.0,0.9758,13.0699,8109264.0
603927.SH,20260721,孙熙杰,G,IN,89700.0,0.0108,4858722.0,0.5847,12.8506,4858722.0
603927.SH,20260721,张志华,G,IN,40000.0,0.0048,5263806.0,0.6334,12.91,5263806.0
603927.SH,20260721,王欣,G,IN,20000.0,0.0024,2470897.0,0.2973,13.0,2470897.0
603927.SH,20260721,孙静,G,IN,30000.0,0.0036,5751136.0,0.692,12.99,5751136.0
002661.SZ,20260721,南县中香泰食品有限公司,C,IN,911700.0,0.287,31319920.0,9.8581,,31319920.0
600197.SH,20260721,新疆伊力特集团有限公司,C,IN,385800.0,0.0815,204049427.0,43.1235,,204049427.0
600495.SH,20260721,中兵投资管理有限责任公司,C,IN,4968660.0,0.4112,7899760.0,0.6539,,7899760.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,24397970.0,0.1973,1756260116.0,14.2051,,1756260116.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,25053786.0,0.2026,1781313902.0,14.4078,,1781313902.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,20967438.0,0.1696,1802281340.0,14.5774,,1802281340.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,15920858.0,0.1288,1818202198.0,14.7061,,1818202198.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,20833612.0,0.1685,1839035810.0,14.8746,,1839035810.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,3135800.0,0.0254,1842171610.0,14.9,,1842171610.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,2371700.0,0.0192,1844543310.0,14.9192,,1844543310.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,9991795.0,0.0808,1854535105.0,15.0,,1854535105.0
300014.SZ,20260721,刘建华,G,IN,100000.0,0.0047,,,52.99,20314393.0
002661.SZ,20260721,南县中香泰食品有限公司,C,IN,911700.0,0.287,31319920.0,9.8581,,31319920.0
600188.SH,20260721,山东能源集团有限公司,C,IN,997790.0,0.0167,,,20.28,
000695.SZ,20260721,旭阳集团有限公司,C,IN,2370000.0,1.0685,43256000.0,19.5013,,43256000.0
002615.SZ,20260721,吕丽珍,G,IN,644900.0,0.2135,,,6.9788,21936400.0
002615.SZ,20260721,欧阳波,G,IN,320000.0,0.1059,,,6.41,14413800.0
002615.SZ,20260721,邵巧蓉,G,IN,30000.0,0.0099,,,6.75,630000.0
601882.SH,20260721,宁波海天股份有限公司,C,IN,424200.0,0.0813,204704000.0,39.2153,,204704000.0
600197.SH,20260721,新疆伊力特集团有限公司,C,IN,385800.0,0.0815,204049427.0,43.1235,,204049427.0
002943.SZ,20260721,杨佳葳,G,IN,126800.0,0.0671,11111800.0,5.8839,39.7043,44066800.0
603306.SH,20260721,臧琨,G,IN,22600.0,0.0069,22600.0,0.0069,64.23,22600.0
002714.SZ,20260721,增持主体委托设立的信托计划,C,IN,12644570.0,0.3854,,,39.5427,
600770.SH,20260721,南通综艺投资有限公司,C,IN,2307400.0,0.1775,261263109.0,20.0972,5.7019,261263109.0
605138.SH,20260721,宁波盛泰纺织有限公司,C,IN,1117600.0,0.2012,183754624.0,33.0749,,183754624.0
002102.SZ,20260721,梅平,G,IN,100000.0,0.0046,,,,
600075.SH,20260721,新疆天业(集团)有限公司,C,IN,9736040.0,0.5701,735355150.0,43.0587,4.153,735355150.0
603098.SH,20260721,刘爱森,G,IN,3831349.0,0.7111,140469505.0,26.0708,14.437,140469505.0
603927.SH,20260721,左春,G,IN,37200.0,0.0045,8109264.0,0.9758,13.0699,8109264.0
603927.SH,20260721,孙熙杰,G,IN,89700.0,0.0108,4858722.0,0.5847,12.8506,4858722.0
603927.SH,20260721,张志华,G,IN,40000.0,0.0048,5263806.0,0.6334,12.91,5263806.0
603927.SH,20260721,王欣,G,IN,20000.0,0.0024,2470897.0,0.2973,13.0,2470897.0
603927.SH,20260721,孙静,G,IN,30000.0,0.0036,5751136.0,0.692,12.99,5751136.0
688116.SH,20260721,王鸣光,G,IN,1386.0,0.0004,,,,
601127.SH,20260721,其他团队核心成员,P,IN,1786500.0,0.1147,,,56.0034,
301004.SZ,20260721,浙江嘉韶云华投资管理有限公司,C,IN,346700.0,0.2547,69252950.0,50.8811,33.383,69252950.0
600495.SH,20260721,中兵投资管理有限责任公司,C,IN,4968660.0,0.4112,7899760.0,0.6539,,7899760.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,24397970.0,0.1973,1756260116.0,14.2051,,1756260116.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,25053786.0,0.2026,1781313902.0,14.4078,,1781313902.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,20967438.0,0.1696,1802281340.0,14.5774,,1802281340.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,15920858.0,0.1288,1818202198.0,14.7061,,1818202198.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,20833612.0,0.1685,1839035810.0,14.8746,,1839035810.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,3135800.0,0.0254,1842171610.0,14.9,,1842171610.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,2371700.0,0.0192,1844543310.0,14.9192,,1844543310.0
601009.SH,20260721,江苏交通控股有限公司,C,IN,9991795.0,0.0808,1854535105.0,15.0,,1854535105.0
300014.SZ,20260721,刘建华,G,IN,100000.0,0.0047,,,52.99,20314393.0
002661.SZ,20260721,南县中香泰食品有限公司,C,IN,911700.0,0.287,31319920.0,9.8581,,31319920.0
600188.SH,20260721,山东能源集团有限公司,C,IN,997790.0,0.0167,,,20.28,
000695.SZ,20260721,旭阳集团有限公司,C,IN,2370000.0,1.0685,43256000.0,19.5013,,43256000.0
002615.SZ,20260721,吕丽珍,G,IN,644900.0,0.2135,,,6.9788,21936400.0
002615.SZ,20260721,欧阳波,G,IN,320000.0,0.1059,,,6.41,14413800.0
002615.SZ,20260721,邵巧蓉,G,IN,30000.0,0.0099,,,6.75,630000.0
601882.SH,20260721,宁波海天股份有限公司,C,IN,424200.0,0.0813,204704000.0,39.2153,,204704000.0
600197.SH,20260721,新疆伊力特集团有限公司,C,IN,385800.0,0.0815,204049427.0,43.1235,,204049427.0
002943.SZ,20260721,杨佳葳,G,IN,126800.0,0.0671,11111800.0,5.8839,39.7043,44066800.0
603306.SH,20260721,臧琨,G,IN,22600.0,0.0069,22600.0,0.0069,64.23,22600.0
002714.SZ,20260721,增持主体委托设立的信托计划,C,IN,12644570.0,0.3854,,,39.5427,
600770.SH,20260721,南通综艺投资有限公司,C,IN,2307400.0,0.1775,261263109.0,20.0972,5.7019,261263109.0
605138.SH,20260721,宁波盛泰纺织有限公司,C,IN,1117600.0,0.2012,183754624.0,33.0749,,183754624.0
002102.SZ,20260721,梅平,G,IN,100000.0,0.0046,,,,
600075.SH,20260721,新疆天业(集团)有限公司,C,IN,9736040.0,0.5701,735355150.0,43.0587,4.153,735355150.0
603098.SH,20260721,刘爱森,G,IN,3831349.0,0.7111,140469505.0,26.0708,14.437,140469505.0
603927.SH,20260721,左春,G,IN,37200.0,0.0045,8109264.0,0.9758,13.0699,8109264.0
